alpha,color,label,value
255,#fcffc2,flat or nearly flat plains,1
255,#dbe2ac,smooth plains with some local relief,2
255,#e7ff2b,irregular plains with moderate relief,3
255,#cfe927,irregular plains with low hills,4
255,#68e34f,scattered moderate hills,5
255,#55b23f,moderate hills,6
255,#7da93a,scattered high hills,7
255,#66892e,high hills,8
255,#d6af62,scattered low mountains,9
255,#d69a2b,low mountains,10
255,#725326,scattered high mountains,11
255,#724501,high mountains,12
255,#c9a1e0,tablelands with moderate relief,13
255,#b28dae,tablelands with considerable relief,14
255,#a18087,tablelands with high relief,15
255,#886c61,tablelands with ver high relief,16
255,#c5f4fe,surface water,17
